id,nationality
base.ad,ANDORRANA
base.ae,EMIRATI
base.af,AFGANA
base.ag,ANTIGUANA
base.ai,ANGUILANA
base.al,ALBANESA
base.am,ARMENIA
base.ar,ARGENTINA
base.at,AUSTRIACA
base.au,AUSTRALIANA
base.aw,ARUBEÑA
base.az,AZERBAIYANA
base.ba,BOSNIA
base.bb,BARBADENSE
base.bd,BANGLADESI
base.be,BELGA
base.bg,BULGARA
base.bh,BAHREINÍ
base.bl,BARTOLOMENSE
base.bm,BERMUDEÑA
base.bn,BRUNEANA
base.bo,BOLIVIANA
base.br,BRASILEÑA
base.bs,BAHAMEÑA
base.bt,BUTANESA
base.by,BIELORRUSA
base.bz,BELICEÑA
base.ca,CANADIENSE
base.ch,SUIZA
base.cl,CHILENA
base.cn,CHINA
base.co,COLOMBIANA
base.cr,COSTARRICENSE
base.cu,CUBANA
base.cw,CURAZALEÑA
base.cy,CHIPRIOTA
base.cz,CHECA
base.de,ALEMANA
base.dk,DANESA
base.dm,DOMINIQUESA
base.do,DOMINICANA
base.ec,ECUATORIANA
base.ee,ESTONIA
base.es,ESPAÑOLA
base.fi,FINLANDESA
base.fr,FRANCESA
base.ge,GEORGIANA
base.gi,GIBRALTAREÑA
base.gl,GROENLANDESA
base.gr,GRIEGA
base.gt,GUATEMALTECA
base.gy,GUYANESA
base.hk,HONGKONESA
base.hn,HONDUREÑA
base.hr,CROATA
base.ht,HAITIANA
base.hu,HUNGARA
base.id,INDONESIA
base.ie,IRLANDESA
base.il,ISRAELÍ
base.in,INDU
base.iq,IRAQUÍ
base.ir,IRANI
base.is,ISLANDESA
base.it,ITALIANA
base.jm,JAMAIQUINA
base.jo,JORDANA
base.jp,JAPONESA
base.kg,KIRGUIS
base.kh,CAMBOYANA
base.kn,SAN CRISTOBALEÑA
base.kp,NORCOREANA
base.kr,SURCOREANA
base.kw,KUWAITI
base.ky,CAIMANENSA
base.kz,KAZAJA
base.la,LAOSIANA
base.lb,LIBANESA
base.lc,SANTALUCENSE
base.lk,CEILANDESA
base.mm,BIRMANA
base.mn,MONGOLA
base.mo,MACAENSE
base.ms,MONTSERRATENSE
base.mv,MALDIVA
base.mx,MEXICANA
base.my,MALASIA
base.ni,NICARAGUENSE
base.nl,NEERLANDESA
base.np,NEPALÍ
base.om,OMANI
base.pa,PANAMEÑA
base.pe,PERUANA
base.ph,FILIPINA
base.pk,PAKISTANI
base.pl,POLACA
base.pm,SANPEDRINA
base.pr,PUERTORRIQUEÑA
base.ps,PALESTINA
base.pt,PORTUGUESA
base.py,PARAGUAYA
base.qa,QATARÍ
base.ru,RUSA
base.sa,SAUDÍ
base.se,SUECA
base.sg,SINGAPURENSE
base.sh,SANTAELENENSE
base.si,ESLOVENA
base.sk,ESLOVACA
base.sr,SURINAMESA
base.sv,SALVADOREÑA
base.sx,SANMANTINENSE
base.sy,SIRIA
base.tc,TURCOCAIQUEÑA
base.th,TAILANDESA
base.tj,TAYICA
base.tm,TURCOMANA
base.tr,TURCA
base.tt,TRINITENSE
base.tw,TAIWANESA
base.ua,UCRANIANA
base.uk,BRITANICA
base.us,ESTADOUNIDENSE
base.uy,URUGUAYA
base.uz,UZBEKA
base.va,VATICANA
base.vc,SANVICENTINA
base.ve,VENEZOLANA
base.vg,VIRGENESA
base.vi,VIRGENESA
base.vn,VIETNAMITA
base.ye,YEMENI
