"id","state_id:id","name","code"
municipio_101,territorial_pd.state_ve_1,Libertador,101
municipio_201,territorial_pd.state_ve_2,Anaco,201
municipio_202,territorial_pd.state_ve_2,Aragua,202
municipio_203,territorial_pd.state_ve_2,Simón Bolívar,203
municipio_204,territorial_pd.state_ve_2,Manuel Ezequiel Bruzual,204
municipio_205,territorial_pd.state_ve_2,Juan Manuel Cajigal,205
municipio_206,territorial_pd.state_ve_2,Pedro María Freites,206
municipio_207,territorial_pd.state_ve_2,Independencia,207
municipio_208,territorial_pd.state_ve_2,Libertad,208
municipio_209,territorial_pd.state_ve_2,Francisco De Miranda,209
municipio_210,territorial_pd.state_ve_2,José Gregorio Monagas,210
municipio_211,territorial_pd.state_ve_2,Fernando De Peñalver,211
municipio_212,territorial_pd.state_ve_2,Simón Rodríguez,212
municipio_213,territorial_pd.state_ve_2,Juan Antonio Sotillo,213
municipio_214,territorial_pd.state_ve_2,San José De Guanipa,214
municipio_215,territorial_pd.state_ve_2,Guanta,215
municipio_216,territorial_pd.state_ve_2,Píritu,216
municipio_217,territorial_pd.state_ve_2,Diego Bautista Urbaneja,217
municipio_218,territorial_pd.state_ve_2,Francisco Del Carmen Carvajal,218
municipio_219,territorial_pd.state_ve_2,Santa  Ana,219
municipio_220,territorial_pd.state_ve_2,Sir Arthur Mc Gregor,220
municipio_221,territorial_pd.state_ve_2,San Juan De Capistrano,221
municipio_301,territorial_pd.state_ve_3,Autónomo Atures,301
municipio_302,territorial_pd.state_ve_3,Autónomo Atabapo,302
municipio_303,territorial_pd.state_ve_3,Autónomo Guainía,303
municipio_304,territorial_pd.state_ve_3,Autónomo Río Negro,304
municipio_305,territorial_pd.state_ve_3,Autónomo Autana,305
municipio_306,territorial_pd.state_ve_3,Autónomo Manapiare,306
municipio_307,territorial_pd.state_ve_3,Autónomo Alto Orinoco,307
municipio_401,territorial_pd.state_ve_4,Achaguas,401
municipio_402,territorial_pd.state_ve_4,Muñoz,402
municipio_403,territorial_pd.state_ve_4,Páez,403
municipio_404,territorial_pd.state_ve_4,Pedro Camejo,404
municipio_405,territorial_pd.state_ve_4,Rómulo Gallegos,405
municipio_406,territorial_pd.state_ve_4,San Fernando,406
municipio_407,territorial_pd.state_ve_4,Biruaca,407
municipio_501,territorial_pd.state_ve_5,Atanasio Girardot,501
municipio_502,territorial_pd.state_ve_5,Santiago Mariño,502
municipio_503,territorial_pd.state_ve_5,José Félix Ribas,503
municipio_504,territorial_pd.state_ve_5,San Casimiro,504
municipio_505,territorial_pd.state_ve_5,San Sebastián,505
municipio_506,territorial_pd.state_ve_5,Sucre,506
municipio_507,territorial_pd.state_ve_5,Urdaneta,507
municipio_508,territorial_pd.state_ve_5,Zamora,508
municipio_509,territorial_pd.state_ve_5,Libertador,509
municipio_510,territorial_pd.state_ve_5,José Angel Lamas,510
municipio_511,territorial_pd.state_ve_5,Bolívar,511
municipio_512,territorial_pd.state_ve_5,Santos Michelena,512
municipio_513,territorial_pd.state_ve_5,Mario Briceño Iragorry,513
municipio_514,territorial_pd.state_ve_5,Tovar,514
municipio_515,territorial_pd.state_ve_5,Camatagua,515
municipio_516,territorial_pd.state_ve_5,José Rafael Revenga,516
