"id","municipality_id:id","name","code"
parroquia_10101,territorial_pd.municipio_101,Altagracia,10101
parroquia_10102,territorial_pd.municipio_101,Candelaria,10102
parroquia_10103,territorial_pd.municipio_101,Catedral,10103
parroquia_10104,territorial_pd.municipio_101,La Pastora,10104
parroquia_10105,territorial_pd.municipio_101,San Agustín,10105
parroquia_10106,territorial_pd.municipio_101,San José,10106
parroquia_10107,territorial_pd.municipio_101,San Juan,10107
parroquia_10108,territorial_pd.municipio_101,Santa Rosalía,10108
parroquia_10109,territorial_pd.municipio_101,Santa Teresa,10109
parroquia_10110,territorial_pd.municipio_101,Sucre,10110
parroquia_10111,territorial_pd.municipio_101,23 De Enero,10111
parroquia_10112,territorial_pd.municipio_101,Antímano,10112
parroquia_10113,territorial_pd.municipio_101,El Recreo,10113
parroquia_10114,territorial_pd.municipio_101,El Valle,10114
parroquia_10115,territorial_pd.municipio_101,La Vega,10115
parroquia_10116,territorial_pd.municipio_101,Macarao,10116
parroquia_10117,territorial_pd.municipio_101,Caricuao,10117
parroquia_10118,territorial_pd.municipio_101,El Junquito,10118
parroquia_10119,territorial_pd.municipio_101,Coche,10119
parroquia_10120,territorial_pd.municipio_101,San Pedro,10120
parroquia_10121,territorial_pd.municipio_101,San Bernardino,10121
parroquia_10122,territorial_pd.municipio_101,El Paraíso,10122
parroquia_20101,territorial_pd.municipio_201,Anaco,20101
parroquia_20102,territorial_pd.municipio_201,San Joaquín,20102
parroquia_20201,territorial_pd.municipio_202,Aragua,20201
parroquia_20202,territorial_pd.municipio_202,Cachipo,20202
parroquia_20301,territorial_pd.municipio_203,El Carmen,20301
parroquia_20302,territorial_pd.municipio_203,San Cristóbal,20302
parroquia_20303,territorial_pd.municipio_203,Bergantín,20303
parroquia_20304,territorial_pd.municipio_203,Caigua,20304
parroquia_20305,territorial_pd.municipio_203,El Pilar,20305
parroquia_20306,territorial_pd.municipio_203,Naricual,20306
parroquia_20401,territorial_pd.municipio_204,Clarines,20401
parroquia_20402,territorial_pd.municipio_204,Guanape,20402
parroquia_20403,territorial_pd.municipio_204,Sabana De Uchire,20403
parroquia_20501,territorial_pd.municipio_205,Onoto,20501
parroquia_20502,territorial_pd.municipio_205,San Pablo,20502
parroquia_20601,territorial_pd.municipio_206,Cantaura,20601
parroquia_20602,territorial_pd.municipio_206,Libertador,20602
parroquia_20603,territorial_pd.municipio_206,Santa Rosa,20603
parroquia_20604,territorial_pd.municipio_206,Urica,20604
parroquia_20701,territorial_pd.municipio_207,Soledad,20701
parroquia_20702,territorial_pd.municipio_207,Mamo,20702
parroquia_20801,territorial_pd.municipio_208,San Mateo,20801
parroquia_20802,territorial_pd.municipio_208,El Carito,20802
parroquia_20803,territorial_pd.municipio_208,Santa Inés,20803
parroquia_20804,territorial_pd.municipio_208,La Romereña,20804
parroquia_20901,territorial_pd.municipio_209,Pariaguán,20901
parroquia_20902,territorial_pd.municipio_209,Atapirire,20902
parroquia_20903,territorial_pd.municipio_209,Boca Del Pao,20903
parroquia_20904,territorial_pd.municipio_209,El Pao,20904
parroquia_21001,territorial_pd.municipio_210,Mapire,21001
parroquia_21002,territorial_pd.municipio_210,Piar,21002
parroquia_21003,territorial_pd.municipio_210,San Diego De Cabrutica,21003
parroquia_21004,territorial_pd.municipio_210,Santa Clara,21004
parroquia_21005,territorial_pd.municipio_210,Uverito,21005
parroquia_21006,territorial_pd.municipio_210,Zuata,21006
parroquia_21101,territorial_pd.municipio_211,Puerto Píritu,21101
parroquia_21102,territorial_pd.municipio_211,San Miguel,21102
parroquia_21103,territorial_pd.municipio_211,Sucre,21103
parroquia_21201,territorial_pd.municipio_212,Edmundo Barrios,21201
parroquia_21202,territorial_pd.municipio_212,Miguel Otero Silva,21202
parroquia_21301,territorial_pd.municipio_213,Pozuelos,21301
parroquia_21302,territorial_pd.municipio_213,Puerto La Cruz,21302
parroquia_21401,territorial_pd.municipio_214,San José De Guanipa,21401
parroquia_21501,territorial_pd.municipio_215,Guanta,21501
parroquia_21502,territorial_pd.municipio_215,Chorrerón,21502
parroquia_21601,territorial_pd.municipio_216,Píritu,21601
parroquia_21602,territorial_pd.municipio_216,San Francisco,21602
parroquia_21701,territorial_pd.municipio_217,Lecherías,21701
parroquia_21702,territorial_pd.municipio_217,El Morro,21702
parroquia_21801,territorial_pd.municipio_218,Valle De Guanape,21801
parroquia_21802,territorial_pd.municipio_218,Santa Bárbara,21802
parroquia_21901,territorial_pd.municipio_219,Santa  Ana,21901
parroquia_21902,territorial_pd.municipio_219,Pueblo Nuevo,21902
parroquia_22001,territorial_pd.municipio_220,El Chaparro,22001
parroquia_22002,territorial_pd.municipio_220,Tomás Alfaro,22002
parroquia_22003,territorial_pd.municipio_220,Calatrava,22003
parroquia_22101,territorial_pd.municipio_221,Boca De Uchire,22101
parroquia_22102,territorial_pd.municipio_221,Boca De Chávez,22102
parroquia_30101,territorial_pd.municipio_301,Fernándo Girón Tovar,30101
parroquia_30102,territorial_pd.municipio_301,Luis Alberto Gómez,30102
